Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TOPUP,Current,2025-01-02 07:00:00,2025-01-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1000.00
Card Payment,Current,2025-01-13 16:00:00,2025-01-14 16:00:00,Sainsbury's,-37.20,0.00,GBP,COMPLETED,962.80
Card Payment,Current,2025-01-24 10:00:00,2025-01-25 10:00:00,Sainsbury's,-24.70,0.00,GBP,COMPLETED,938.10
Card Payment,Current,2025-01-26 18:00:00,2025-01-27 18:00:00,Uber Eats,-17.46,0.00,GBP,COMPLETED,920.64
TOPUP,Current,2025-02-02 07:00:00,2025-02-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1120.64
Card Payment,Current,2025-02-09 10:00:00,2025-02-10 10:00:00,Uber Eats,-18.82,0.00,GBP,COMPLETED,1101.82
Card Payment,Current,2025-02-16 14:00:00,2025-02-17 14:00:00,Sainsbury's,-44.14,0.00,GBP,COMPLETED,1057.68
Card Payment,Current,2025-02-26 11:00:00,2025-02-27 11:00:00,Uber Eats,-17.94,0.00,GBP,COMPLETED,1039.74
TOPUP,Current,2025-03-02 07:00:00,2025-03-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1239.74
Card Payment,Current,2025-03-15 21:00:00,2025-03-16 21:00:00,Tesco,-39.54,0.00,GBP,COMPLETED,1200.20
Card Payment,Current,2025-03-19 14:00:00,2025-03-20 14:00:00,Pret A Manger,-7.42,0.00,GBP,COMPLETED,1192.78
Card Payment,Current,2025-03-22 19:00:00,2025-03-23 19:00:00,Tesco,-38.74,0.00,GBP,COMPLETED,1154.04
Card Payment,Current,2025-03-26 09:00:00,2025-03-27 09:00:00,Tesco,-46.28,0.00,GBP,COMPLETED,1107.76
TOPUP,Current,2025-04-02 07:00:00,2025-04-03 07:00:00,Payment from Alex Muster,200.00,0.00,GBP,COMPLETED,1307.76
