"Date";"Booking text";"Curr";"Amount details";"ZKB reference";"Reference number";"Debit CHF";"Credit CHF";"Value date";"Balance CHF";"Payment purpose";"Details"
"01.01.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.01.2025";"18500.00";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.01.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.01.2025";"16520.00";"transfer to mortgage no. 1234567";""
"03.01.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.01.2025";"15880.00";"nebenkosten akonto";""
"05.01.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.01.2025";"15034.50";"";""
"06.01.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.01.2025";"14734.50";"standing order pocket money";""
"12.01.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"1894.85";"";"12.01.2025";"12839.65";"";""
"15.01.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.01.2025";"12720.65";"";""
"18.01.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"110.15";"";"18.01.2025";"12610.50";"";""
"20.01.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.01.2025";"11110.50";"credit own account";""
"25.01.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.01.2025";"11106.50";"";""
"01.02.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.02.2025";"17606.50";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.02.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.02.2025";"15626.50";"transfer to mortgage no. 1234567";""
"03.02.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.02.2025";"14986.50";"nebenkosten akonto";""
"05.02.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.02.2025";"14141.00";"";""
"06.02.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.02.2025";"13841.00";"standing order pocket money";""
"09.02.2025";"Debit eBill: AXA Versicherungen AG";"";"";"Z25000000000";"";"318.40";"";"09.02.2025";"13522.60";"";""
"12.02.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"1897.13";"";"12.02.2025";"11625.47";"";""
"15.02.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.02.2025";"11506.47";"";""
"18.02.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"138.26";"";"18.02.2025";"11368.21";"";""
"20.02.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.02.2025";"9868.21";"credit own account";""
"25.02.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.02.2025";"9864.21";"";""
"01.03.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.03.2025";"16364.21";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.03.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.03.2025";"14384.21";"transfer to mortgage no. 1234567";""
"03.03.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.03.2025";"13744.21";"nebenkosten akonto";""
"05.03.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.03.2025";"12898.71";"";""
"06.03.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.03.2025";"12598.71";"standing order pocket money";""
"12.03.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"2086.94";"";"12.03.2025";"10511.77";"";""
"15.03.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.03.2025";"10392.77";"";""
"18.03.2025";"Debit eBill: Elektrizitaetswerk der Stadt";"";"";"Z25000000000";"";"153.23";"";"18.03.2025";"10239.54";"";""
"20.03.2025";"Debit Account transfer: own account";"";"";"Z25000000000";"";"1500.00";"";"20.03.2025";"8739.54";"credit own account";""
"20.03.2025";"Debit eBill: Steueramt Kanton Zurich";"";"";"Z25000000000";"";"4200.00";"";"20.03.2025";"4539.54";"";""
"25.03.2025";"Payment transaction prices";"";"";"Z25000000000";"";"4.00";"";"25.03.2025";"4535.54";"";""
"01.04.2025";"Credit Account transfer: own account";"";"";"Z25000000000";"";"";"6500.00";"01.04.2025";"11035.54";"monthly household budget";"Alex Muster, Musterstrasse 1, 8000 Zurich"
"01.04.2025";"Debit Standing order: Mortgage";"";"";"Z25000000000";"";"1980.00";"";"01.04.2025";"9055.54";"transfer to mortgage no. 1234567";""
"03.04.2025";"Debit eBill: STWEG Musterstrasse 1";"";"";"Z25000000000";"";"640.00";"";"03.04.2025";"8415.54";"nebenkosten akonto";""
"05.04.2025";"Debit eBill: Krankenkasse Sana AG";"";"";"Z25000000000";"";"845.50";"";"05.04.2025";"7570.04";"";""
"06.04.2025";"Debit Standing order: pocket money";"";"";"Z25000000000";"";"300.00";"";"06.04.2025";"7270.04";"standing order pocket money";""
"11.04.2025";"Debit eBill: Serafe AG";"";"";"Z25000000000";"";"335.00";"";"11.04.2025";"6935.04";"";""
"12.04.2025";"Debit from LSV with right of objection: Card Services SA";"";"";"Z25000000000";"";"2346.19";"";"12.04.2025";"4588.85";"";""
"15.04.2025";"Debit eBill: Swisscom (Schweiz) AG";"";"";"Z25000000000";"";"119.00";"";"15.04.2025";"4469.85";"";""
